Molecule,Canonical SMILES,Formula,MW,#Heavy atoms,#Aromatic heavy atoms,Fraction Csp3,#Rotatable bonds,#H-bond acceptors,#H-bond donors,MR,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,Silicos-IT Log P,Consensus Log P,ESOL Log S,ESOL Solubility (mg/ml),ESOL Solubility (mol/l),ESOL Class,Ali Log S,Ali Solubility (mg/ml),Ali Solubility (mol/l),Ali Class,Silicos-IT LogSw,Silicos-IT Solubility (mg/ml),Silicos-IT Solubility (mol/l),Silicos-IT class,GI absorption,BBB permeant,Pgp substrate,CYP1A2 inhibitor,CYP2C19 inhibitor,CYP2C9 inhibitor,CYP2D6 inhibitor,CYP3A4 inhibitor,log Kp (cm/s),Lipinski #violations,Ghose #violations,Veber #violations,Egan #violations,Muegge #violations,Bioavailability Score,PAINS #alerts,Brenk #alerts,Leadlikeness #violations,Synthetic Accessibility
I-BET-762,CCNC(=O)CC1N=C(c2ccc(cc2)Cl)c2c(n3c1nnc3C)ccc(c2)OC,C22H22ClN5O2,423.9,30,17,0.27,6,5,1,119.37,81.4,3.18,2.85,2.95,2.44,4.2,3.12,-4.29,0.0219,5.16E-05,Moderately soluble,-4.22,0.0257,6.05E-05,Moderately soluble,-7.65,9.40E-06,2.22E-08,Poorly soluble,High,No,Yes,No,Yes,Yes,Yes,Yes,-6.86,0,0,0,0,0,0.55,0,0,1,4.29
AGK2,N#CC(=Cc1ccc(o1)c1cc(Cl)ccc1Cl)C(=O)Nc1cccc2c1cccn2,C23H13Cl2N3O2,434.27,30,21,0,5,4,1,117.95,78.92,3.5,5.95,6.05,2.87,5.65,4.8,-6.47,0.000147,3.40E-07,Poorly soluble,-7.38,1.80E-05,4.14E-08,Poorly soluble,-9.25,2.46E-07,5.66E-10,Poorly soluble,High,No,No,Yes,Yes,Yes,No,Yes,-4.72,0,1,0,1,1,0.55,0,2,2,3.34
Foretinib,COc1cc2c(ccnc2cc1OCCCN1CCOCC1)Oc1ccc(cc1F)NC(=O)C1(CC1)C(=O)Nc1ccc(cc1)F,C34H34F2N4O6,632.65,46,22,0.32,14,10,2,171.17,111.25,4.25,5.51,5.79,2.62,5.84,4.8,-6.66,0.000137,2.17E-07,Poorly soluble,-7.61,1.57E-05,2.48E-08,Poorly soluble,-10.78,1.06E-08,1.68E-11,Insoluble,Low,No,Yes,No,Yes,Yes,No,Yes,-6.25,1,4,1,0,2,0.55,0,1,3,4.05
BIBR-1532,O=C(Nc1ccccc1C(=O)O)C=C(c1ccc2c(c1)cccc2)C,C21H17NO3,331.36,25,16,0.05,5,3,2,99.64,66.4,2.33,5.13,4.39,3.69,3.89,3.89,-5.27,0.00178,5.37E-06,Moderately soluble,-6.27,0.000178,5.38E-07,Poorly soluble,-6.41,0.000128,3.85E-07,Poorly soluble,High,Yes,No,Yes,No,Yes,No,No,-4.68,0,0,0,0,1,0.85,0,1,1,2.53
Pyridostatin,NCCOc1cc(nc(c1)C(=O)Nc1cc(OCCN)c2c(n1)cccc2)C(=O)Nc1cc(OCCN)c2c(n1)cccc2,C31H32N8O5,596.64,44,26,0.19,15,11,5,165.29,202.62,2.74,1.48,2.31,-0.01,2.59,1.82,-3.92,0.0719,0.000121,Soluble,-5.34,0.00271,4.55E-06,Moderately soluble,-9.94,6.82E-08,1.14E-10,Poorly soluble,Low,No,No,No,Yes,Yes,No,Yes,-8.89,2,3,2,1,2,0.17,0,0,2,4.09
AMG-319,Fc1ccc2c(c1)nc(c(c2)C(Nc1ncnc2c1[nH]cn2)C)c1ccccn1,C21H16FN7,385.4,29,25,0.1,4,6,2,108.77,92.27,2.32,3.31,4.18,2.04,4,3.17,-4.69,0.00789,2.05E-05,Moderately soluble,-4.92,0.00459,1.19E-05,Moderately soluble,-8.83,5.67E-07,1.47E-09,Poorly soluble,High,No,Yes,No,No,Yes,Yes,Yes,-6.3,0,0,0,0,0,0.55,0,0,1,3.53
MK-8776,Cn1ncc(c1)c1cnn2c1nc(C1CCCNC1)c(c2N)Br,C15H18BrN7,376.25,23,14,0.4,2,4,2,96.37,86.06,2.49,0.75,1.57,1.87,0.95,1.52,-2.96,0.409,0.00109,Soluble,-2.14,2.75,0.0073,Soluble,-4.27,0.02,5.32E-05,Moderately soluble,High,No,Yes,Yes,No,No,No,No,-8.06,0,0,0,0,0,0.55,0,0,1,3.54
Vinorelbine,CCC1=CC2CN(C1)Cc1c3ccccc3[nH]c1C(C2)(C(=O)OC)c1cc2c(cc1OC)N(C1C32CCN2C3C(CC)(C=CC2)C(C1(O)C(=O)OC)OC(=O)C)C,C45H54N4O8,778.93,57,15,0.53,10,10,2,226.04,133.87,5.53,3.77,3.46,2.87,4.96,4.12,-6.58,0.000205,2.64E-07,Poorly soluble,-6.27,0.000414,5.31E-07,Poorly soluble,-8.57,2.09E-06,2.68E-09,Poorly soluble,Low,No,Yes,No,No,No,No,Yes,-8.37,2,3,0,1,2,0.17,0,2,3,8.92
Mycophenolic acid,COc1c(CC=C(CCC(=O)O)C)c(O)c2c(c1C)COC2=O,C17H20O6,320.34,23,6,0.41,6,6,2,84.35,93.06,2.48,3.2,2.58,1.82,3.52,2.72,-3.64,0.0735,0.00023,Soluble,-4.83,0.00478,1.49E-05,Moderately soluble,-3.56,0.0878,0.000274,Soluble,High,No,No,Yes,No,No,No,No,-5.98,0,0,0,0,0,0.56,0,1,0,3.02
Remodelin,N#Cc1ccc(cc1)c1csc(n1)NN=C1CCCC1,C15H14N4S,282.36,20,11,0.27,3,3,1,82.37,89.31,2.66,3.29,3.83,1.91,4.52,3.24,-3.87,0.0379,0.000134,Soluble,-4.84,0.00407,1.44E-05,Moderately soluble,-5.37,0.00121,4.30E-06,Moderately soluble,High,No,Yes,Yes,Yes,Yes,No,Yes,-5.69,0,0,0,0,0,0.55,0,1,0,3.22
